;v0.3.11e1_exEcai-3ag_ECAI_Ligne_3All
Average of total size of {request} received (min) ;18.0;
Average of total size of {request} received (max) ;18.0;
Average of max size of {request} received (avg) ;18.0;
Average of max size of {request} received (stddev) ;0.0;
Average of max size of {request} received (min) ;18.0;
Average of max size of {request} received (max) ;18.0;
Average of min size of {request} received (avg) ;18.0;
Average of min size of {request} received (stddev) ;0.0;
Average of min size of {request} received (min) ;18.0;
Average of min size of {request} received (max) ;18.0;
Standard deviation of nb of {request} received (avg) ;0.0;
Standard deviation of nb of {request} received (stddev) ;0.0;
Standard deviation of nb of {request} received (min) ;0.0;
Standard deviation of nb of {request} received (max) ;0;
Standard deviation of total size of {request} received (avg) ;0.0;
Standard deviation of total size of {request} received (stddev) ;0.0;
Standard deviation of total size of {request} received (min) ;0.0;
Standard deviation of total size of {request} received (max) ;0;
Standard deviation of max size of {request} received (avg) ;0.0;
Standard deviation of max size of {request} received (stddev) ;0.0;
Standard deviation of max size of {request} received (min) ;0.0;
Standard deviation of max size of {request} received (max) ;0;
Standard deviation of min size of {request} received (avg) ;0.0;
Standard deviation of min size of {request} received (stddev) ;0.0;
Standard deviation of min size of {request} received (min) ;0.0;
Standard deviation of min size of {request} received (max) ;0;
Product of nb of {acknowledge} received (avg) ;6.0;
Product of nb of {acknowledge} received (stddev) ;0.0;
Product of nb of {acknowledge} received (min) ;6;
Product of nb of {acknowledge} received (max) ;6;
Product of total size of {acknowledge} received (avg) ;48.0;
Product of total size of {acknowledge} received (stddev) ;0.0;
Product of total size of {acknowledge} received (min) ;48;
Product of total size of {acknowledge} received (max) ;48;
Product of max size of {acknowledge} received (avg) ;8.0;
Product of max size of {acknowledge} received (stddev) ;0.0;
Product of max size of {acknowledge} received (min) ;8;
Product of max size of {acknowledge} received (max) ;8;
Product of min size of {acknowledge} received (avg) ;8.0;
Product of min size of {acknowledge} received (stddev) ;0.0;
Product of min size of {acknowledge} received (min) ;8;
Product of min size of {acknowledge} received (max) ;8;
Max of nb of {acknowledge} received (avg) ;3.0;
Max of nb of {acknowledge} received (stddev) ;0.0;
Max of nb of {acknowledge} received (min) ;3;
Max of nb of {acknowledge} received (max) ;3;
Max of total size of {acknowledge} received (avg) ;6.0;
Max of total size of {acknowledge} received (stddev) ;0.0;
Max of total size of {acknowledge} received (min) ;6;
Max of total size of {acknowledge} received (max) ;6;
Max of max size of {acknowledge} received (avg) ;2.0;
Max of max size of {acknowledge} received (stddev) ;0.0;
Max of max size of {acknowledge} received (min) ;2;
Max of max size of {acknowledge} received (max) ;2;
Max of min size of {acknowledge} received (avg) ;2.0;
Max of min size of {acknowledge} received (stddev) ;0.0;
Max of min size of {acknowledge} received (min) ;2;
Max of min size of {acknowledge} received (max) ;2;
Min of nb of {acknowledge} received (avg) ;1.0;
Min of nb of {acknowledge} received (stddev) ;0.0;
Min of nb of {acknowledge} received (min) ;1;
Min of nb of {acknowledge} received (max) ;1;
Min of total size of {acknowledge} received (avg) ;2.0;
Min of total size of {acknowledge} received (stddev) ;0.0;
Min of total size of {acknowledge} received (min) ;2;
Min of total size of {acknowledge} received (max) ;2;
Min of max size of {acknowledge} received (avg) ;2.0;
Min of max size of {acknowledge} received (stddev) ;0.0;
Min of max size of {acknowledge} received (min) ;2;
Min of max size of {acknowledge} received (max) ;2;
Min of min size of {acknowledge} received (avg) ;2.0;
Min of min size of {acknowledge} received (stddev) ;0.0;
Min of min size of {acknowledge} received (min) ;2;
Min of min size of {acknowledge} received (max) ;2;
Sum of nb of {acknowledge} received (avg) ;6.0;
Sum of nb of {acknowledge} received (stddev) ;0.0;
Sum of nb of {acknowledge} received (min) ;6;
Sum of nb of {acknowledge} received (max) ;6;
Sum of total size of {acknowledge} received (avg) ;12.0;
Sum of total size of {acknowledge} received (stddev) ;0.0;
Sum of total size of {acknowledge} received (min) ;12;
Sum of total size of {acknowledge} received (max) ;12;
Sum of max size of {acknowledge} received (avg) ;6.0;
Sum of max size of {acknowledge} received (stddev) ;0.0;
Sum of max size of {acknowledge} received (min) ;6;
Sum of max size of {acknowledge} received (max) ;6;
Sum of min size of {acknowledge} received (avg) ;6.0;
Sum of min size of {acknowledge} received (stddev) ;0.0;
Sum of min size of {acknowledge} received (min) ;6;
Sum of min size of {acknowledge} received (max) ;6;
Average of nb of {acknowledge} received (avg) ;2.0;
Average of nb of {acknowledge} received (stddev) ;0.0;
Average of nb of {acknowledge} received (min) ;2.0;
Average of nb of {acknowledge} received (max) ;2.0;
Average of total size of {acknowledge} received (avg) ;4.0;
Average of total size of {acknowledge} received (stddev) ;0.0;
Average of total size of {acknowledge} received (min) ;4.0;
Average of total size of {acknowledge} received (max) ;4.0;
Average of max size of {acknowledge} received (avg) ;2.0;
Average of max size of {acknowledge} received (stddev) ;0.0;
Average of max size of {acknowledge} received (min) ;2.0;
Average of max size of {acknowledge} received (max) ;2.0;
Average of min size of {acknowledge} received (avg) ;2.0;
Average of min size of {acknowledge} received (stddev) ;0.0;
Average of min size of {acknowledge} received (min) ;2.0;
Average of min size of {acknowledge} received (max) ;2.0;
Standard deviation of nb of {acknowledge} received (avg) ;0.816496580927726;
Standard deviation of nb of {acknowledge} received (stddev) ;0.0;
Standard deviation of nb of {acknowledge} received (min) ;0.816496580927726;
Standard deviation of nb of {acknowledge} received (max) ;0.816496580927726;
Standard deviation of total size of {acknowledge} received (avg) ;1.632993161855452;
Standard deviation of total size of {acknowledge} received (stddev) ;0.0;
Standard deviation of total size of {acknowledge} received (min) ;1.632993161855452;
Standard deviation of total size of {acknowledge} received (max) ;1.632993161855452;
Standard deviation of max size of {acknowledge} received (avg) ;0.0;
Standard deviation of max size of {acknowledge} received (stddev) ;0.0;
Standard deviation of max size of {acknowledge} received (min) ;0.0;
Standard deviation of max size of {acknowledge} received (max) ;0;
Standard deviation of min size of {acknowledge} received (avg) ;0.0;
Standard deviation of min size of {acknowledge} received (stddev) ;0.0;
Standard deviation of min size of {acknowledge} received (min) ;0.0;
Standard deviation of min size of {acknowledge} received (max) ;0;
Product of nb of {coherence counter-example} received (avg) ;-1.0;
Product of nb of {coherence counter-example} received (stddev) ;0.0;
Product of nb of {coherence counter-example} received (min) ;-1;
Product of nb of {coherence counter-example} received (max) ;0;
Product of total size of {coherence counter-example} received (avg) ;-4.0;
Product of total size of {coherence counter-example} received (stddev) ;0.0;
Product of total size of {coherence counter-example} received (min) ;-4;
Product of total size of {coherence counter-example} received (max) ;0;
Product of max size of {coherence counter-example} received (avg) ;-4.0;
Product of max size of {coherence counter-example} received (stddev) ;0.0;
Product of max size of {coherence counter-example} received (min) ;-4;
Product of max size of {coherence counter-example} received (max) ;0;
Product of min size of {coherence counter-example} received (avg) ;-4.0;
Product of min size of {coherence counter-example} received (stddev) ;0.0;
Product of min size of {coherence counter-example} received (min) ;-4;
Product of min size of {coherence counter-example} received (max) ;0;
Max of nb of {coherence counter-example} received (avg) ;1.0;
Max of nb of {coherence counter-example} received (stddev) ;0.0;
Max of nb of {coherence counter-example} received (min) ;1;
Max of nb of {coherence counter-example} received (max) ;1;
Max of total size of {coherence counter-example} received (avg) ;2.0;
Max of total size of {coherence counter-example} received (stddev) ;0.0;
Max of total size of {coherence counter-example} received (min) ;2;
Max of total size of {coherence counter-example} received (max) ;2;
Max of max size of {coherence counter-example} received (avg) ;2.0;
Max of max size of {coherence counter-example} received (stddev) ;0.0;
Max of max size of {coherence counter-example} received (min) ;2;
Max of max size of {coherence counter-example} received (max) ;2;
Max of min size of {coherence counter-example} received (avg) ;2.0;
Max of min size of {coherence counter-example} received (stddev) ;0.0;
Max of min size of {coherence counter-example} received (min) ;2;
Max of min size of {coherence counter-example} received (max) ;2;
Min of nb of {coherence counter-example} received (avg) ;-1.0;
Min of nb of {coherence counter-example} received (stddev) ;0.0;
Min of nb of {coherence counter-example} received (min) ;-1;
Min of nb of {coherence counter-example} received (max) ;0;
Min of total size of {coherence counter-example} received (avg) ;-1.0;
Min of total size of {coherence counter-example} received (stddev) ;0.0;
Min of total size of {coherence counter-example} received (min) ;-1;
Min of total size of {coherence counter-example} received (max) ;0;
Min of max size of {coherence counter-example} received (avg) ;-1.0;
Min of max size of {coherence counter-example} received (stddev) ;0.0;
Min of max size of {coherence counter-example} received (min) ;-1;
Min of max size of {coherence counter-example} received (max) ;0;
Min of min size of {coherence counter-example} received (avg) ;-1.0;
Min of min size of {coherence counter-example} received (stddev) ;0.0;
Min of min size of {coherence counter-example} received (min) ;-1;
Min of min size of {coherence counter-example} received (max) ;0;
