;v0.3.1395e2_exEcai-3ag_ECAI_Clique_3All
Min of min size of {completeness counter-example} received (stddev) ;0.0;
Min of min size of {completeness counter-example} received (min) ;10;
Min of min size of {completeness counter-example} received (max) ;10;
Sum of nb of {completeness counter-example} received (avg) ;8.0;
Sum of nb of {completeness counter-example} received (stddev) ;0.0;
Sum of nb of {completeness counter-example} received (min) ;8;
Sum of nb of {completeness counter-example} received (max) ;8;
Sum of total size of {completeness counter-example} received (avg) ;80.0;
Sum of total size of {completeness counter-example} received (stddev) ;0.0;
Sum of total size of {completeness counter-example} received (min) ;80;
Sum of total size of {completeness counter-example} received (max) ;80;
Sum of max size of {completeness counter-example} received (avg) ;30.0;
Sum of max size of {completeness counter-example} received (stddev) ;0.0;
Sum of max size of {completeness counter-example} received (min) ;30;
Sum of max size of {completeness counter-example} received (max) ;30;
Sum of min size of {completeness counter-example} received (avg) ;30.0;
Sum of min size of {completeness counter-example} received (stddev) ;0.0;
Sum of min size of {completeness counter-example} received (min) ;30;
Sum of min size of {completeness counter-example} received (max) ;30;
Average of nb of {completeness counter-example} received (avg) ;2.6666666666666665;
Average of nb of {completeness counter-example} received (stddev) ;0.0;
Average of nb of {completeness counter-example} received (min) ;2.6666666666666665;
Average of nb of {completeness counter-example} received (max) ;2.6666666666666665;
Average of total size of {completeness counter-example} received (avg) ;26.666666666666668;
Average of total size of {completeness counter-example} received (stddev) ;0.0;
Average of total size of {completeness counter-example} received (min) ;26.666666666666668;
Average of total size of {completeness counter-example} received (max) ;26.666666666666668;
Average of max size of {completeness counter-example} received (avg) ;10.0;
Average of max size of {completeness counter-example} received (stddev) ;0.0;
Average of max size of {completeness counter-example} received (min) ;10.0;
Average of max size of {completeness counter-example} received (max) ;10.0;
Average of min size of {completeness counter-example} received (avg) ;10.0;
Average of min size of {completeness counter-example} received (stddev) ;0.0;
Average of min size of {completeness counter-example} received (min) ;10.0;
Average of min size of {completeness counter-example} received (max) ;10.0;
Standard deviation of nb of {completeness counter-example} received (avg) ;0.9428090415820634;
Standard deviation of nb of {completeness counter-example} received (stddev) ;0.0;
Standard deviation of nb of {completeness counter-example} received (min) ;0.9428090415820634;
Standard deviation of nb of {completeness counter-example} received (max) ;0.9428090415820634;
Standard deviation of total size of {completeness counter-example} received (avg) ;9.428090415820632;
Standard deviation of total size of {completeness counter-example} received (stddev) ;0.0;
Standard deviation of total size of {completeness counter-example} received (min) ;9.428090415820632;
Standard deviation of total size of {completeness counter-example} received (max) ;9.428090415820632;
Standard deviation of max size of {completeness counter-example} received (avg) ;0.0;
Standard deviation of max size of {completeness counter-example} received (stddev) ;0.0;
Standard deviation of max size of {completeness counter-example} received (min) ;0.0;
Standard deviation of max size of {completeness counter-example} received (max) ;0;
Standard deviation of min size of {completeness counter-example} received (avg) ;0.0;
Standard deviation of min size of {completeness counter-example} received (stddev) ;0.0;
Standard deviation of min size of {completeness counter-example} received (min) ;0.0;
Standard deviation of min size of {completeness counter-example} received (max) ;0;
Product of nb of {accept} received (avg) ;-9.0;
Product of nb of {accept} received (stddev) ;0.0;
Product of nb of {accept} received (min) ;-9;
Product of nb of {accept} received (max) ;0;
Product of total size of {accept} received (avg) ;-16380.0;
Product of total size of {accept} received (stddev) ;0.0;
Product of total size of {accept} received (min) ;-16380;
Product of total size of {accept} received (max) ;0;
Product of max size of {accept} received (avg) ;-4636.0;
Product of max size of {accept} received (stddev) ;0.0;
Product of max size of {accept} received (min) ;-4636;
Product of max size of {accept} received (max) ;0;
Product of min size of {accept} received (avg) ;-768.0;
Product of min size of {accept} received (stddev) ;0.0;
Product of min size of {accept} received (min) ;-768;
Product of min size of {accept} received (max) ;0;
Max of nb of {accept} received (avg) ;3.0;
Max of nb of {accept} received (stddev) ;0.0;
Max of nb of {accept} received (min) ;3;
Max of nb of {accept} received (max) ;3;
Max of total size of {accept} received (avg) ;140.0;
Max of total size of {accept} received (stddev) ;0.0;
Max of total size of {accept} received (min) ;140;
Max of total size of {accept} received (max) ;140;
Max of max size of {accept} received (avg) ;76.0;
Max of max size of {accept} received (stddev) ;0.0;
Max of max size of {accept} received (min) ;76;
Max of max size of {accept} received (max) ;76;
Max of min size of {accept} received (avg) ;32.0;
Max of min size of {accept} received (stddev) ;0.0;
Max of min size of {accept} received (min) ;32;
Max of min size of {accept} received (max) ;32;
Min of nb of {accept} received (avg) ;-1.0;
Min of nb of {accept} received (stddev) ;0.0;
Min of nb of {accept} received (min) ;-1;
Min of nb of {accept} received (max) ;0;
Min of total size of {accept} received (avg) ;-1.0;
Min of total size of {accept} received (stddev) ;0.0;
Min of total size of {accept} received (min) ;-1;
Min of total size of {accept} received (max) ;0;
Min of max size of {accept} received (avg) ;-1.0;
Min of max size of {accept} received (stddev) ;0.0;
Min of max size of {accept} received (min) ;-1;
Min of max size of {accept} received (max) ;0;
Min of min size of {accept} received (avg) ;-1.0;
Min of min size of {accept} received (stddev) ;0.0;
Min of min size of {accept} received (min) ;-1;
Min of min size of {accept} received (max) ;0;
Sum of nb of {accept} received (avg) ;5.0;
Sum of nb of {accept} received (stddev) ;0.0;
Sum of nb of {accept} received (min) ;5;
Sum of nb of {accept} received (max) ;5;
Sum of total size of {accept} received (avg) ;256.0;
Sum of total size of {accept} received (stddev) ;0.0;
Sum of total size of {accept} received (min) ;256;
Sum of total size of {accept} received (max) ;256;
Sum of max size of {accept} received (avg) ;136.0;
Sum of max size of {accept} received (stddev) ;0.0;
Sum of max size of {accept} received (min) ;136;
Sum of max size of {accept} received (max) ;136;
Sum of min size of {accept} received (avg) ;55.0;
Sum of min size of {accept} received (stddev) ;0.0;
Sum of min size of {accept} received (min) ;55;
Sum of min size of {accept} received (max) ;55;
Average of nb of {accept} received (avg) ;1.6666666666666667;
Average of nb of {accept} received (stddev) ;0.0;
Average of nb of {accept} received (min) ;1.6666666666666667;
Average of nb of {accept} received (max) ;1.6666666666666667;
Average of total size of {accept} received (avg) ;85.33333333333333;
Average of total size of {accept} received (stddev) ;0.0;
Average of total size of {accept} received (min) ;85.33333333333333;
Average of total size of {accept} received (max) ;85.33333333333333;
Average of max size of {accept} received (avg) ;45.333333333333336;
Average of max size of {accept} received (stddev) ;0.0;
Average of max size of {accept} received (min) ;45.333333333333336;
Average of max size of {accept} received (max) ;45.333333333333336;
Average of min size of {accept} received (avg) ;18.333333333333332;
Average of min size of {accept} received (stddev) ;0.0;
Average of min size of {accept} received (min) ;18.333333333333332;
Average of min size of {accept} received (max) ;18.333333333333332;
Standard deviation of nb of {accept} received (avg) ;1.8856180831641267;
Standard deviation of nb of {accept} received (stddev) ;0.0;
Standard deviation of nb of {accept} received (min) ;1.8856180831641267;
Standard deviation of nb of {accept} received (max) ;1.8856180831641267;
Standard deviation of total size of {accept} received (avg) ;61.76478680355732;
Standard deviation of total size of {accept} received (stddev) ;0.0;
Standard deviation of total size of {accept} received (min) ;61.76478680355732;
Standard deviation of total size of {accept} received (max) ;61.76478680355732;
Standard deviation of max size of {accept} received (avg) ;33.32999983331666;
Standard deviation of max size of {accept} received (stddev) ;0.0;
Standard deviation of max size of {accept} received (min) ;33.32999983331666;
Standard deviation of max size of {accept} received (max) ;33.32999983331666;
